ds,yhat
2025-01-01,0.0
2025-01-02,7141.25102294248
2025-01-03,7523.585683581561
2025-01-04,7769.219730583395
2025-01-05,0.0
2025-01-06,0.0
2025-01-07,5998.324700035641
2025-01-08,5741.014771478511
2025-01-09,5700.405335505459
2025-01-10,6099.953170705167
2025-01-11,6383.384514952406
2025-01-12,0.0
2025-01-13,4741.606699258455
2025-01-14,4836.64529904445
2025-01-15,4684.794614682368
2025-01-16,4761.124238786456
2025-01-17,5286.398206369638
2025-01-18,5701.50287371131
2025-01-19,0.0
2025-01-20,4329.240864177695
2025-01-21,4556.34284941907
2025-01-22,4531.083383918529
2025-01-23,4726.005766765345
2025-01-24,5359.602846595214
2025-01-25,5870.795404132746
2025-01-26,0.0
2025-01-27,4647.911014305252
2025-01-28,4926.227955639399
2025-01-29,4935.831898134265
2025-01-30,5149.256043758462
2025-01-31,5785.3861793338465
2025-02-01,6283.918451761249
2025-02-02,0.0
2025-02-03,4994.957646226709
2025-02-04,5223.008410052658
2025-02-05,5173.35459131686
2025-02-06,5320.612427396909
2025-02-07,5885.850219539359
2025-02-08,6310.9855197837815
2025-02-09,0.0
2025-02-10,4876.438495378266
2025-02-11,5036.408564235179
2025-02-12,4924.283008812656
2025-02-13,5016.257331254027
2025-02-14,5534.718037848819
2025-02-15,5922.612549711405
2025-02-16,0.0
2025-02-17,4444.768802617219
2025-02-18,4599.180157114211
2025-02-19,4492.035106424398
2025-02-20,4599.021277945371
2025-02-21,5141.751754562248
2025-02-22,5562.166850845622
2025-02-23,0.0
2025-02-24,4169.150387819875
2025-02-25,4373.04620229606
2025-02-26,4318.084629015842
2025-02-27,4478.413365869351
2025-02-28,5074.138640557658
2025-03-01,5545.771163153087
2025-03-02,0.0
2025-03-03,0.0
2025-03-04,4487.317639773479
2025-03-05,4465.023957300511
2025-03-06,4651.485613585433
2025-03-07,5266.49649764277
2025-03-08,5750.488704021218
2025-03-09,0.0
2025-03-10,4454.234107871861
2025-03-11,4690.104607590668
2025-03-12,4656.002998394845
2025-03-13,4826.401610923726
2025-03-14,5422.0697211305005
2025-03-15,5884.484451323175
2025-03-16,0.0
2025-03-17,4542.671326083187
2025-03-18,4756.657871787958
2025-03-19,4702.559772063625
2025-03-20,4855.687591205
2025-03-21,5437.511349069281
2025-03-22,5890.049097252765
2025-03-23,0.0
2025-03-24,4541.655330619076
2025-03-25,0.0
2025-03-26,4712.760594299712
2025-03-27,4877.558605639492
2025-03-28,5474.421563664149
2025-03-29,5944.678136980884
2025-03-30,0.0
2025-03-31,4636.43733852032
2025-04-01,4874.464130866745
2025-04-02,4847.737163830216
2025-04-03,5030.216052525843
2025-04-04,5641.900055966298
2025-04-05,6123.269799171443
2025-04-06,0.0
2025-04-07,4823.304936396085
2025-04-08,5057.439762450076
2025-04-09,5021.043257211345
2025-04-10,5187.986381011135
2025-04-11,5778.371461501385
2025-04-12,6232.973468162906
2025-04-13,0.0
2025-04-14,4865.154790800748
2025-04-15,5059.659643050069
2025-04-16,4981.035258024476
